source_pdf,source_date,list_kind,pages,arbitration_hits
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_51beb44f7d.pdf,2025-12-24,supplementary_1,2,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_7b73e408e6.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_cdefde827d.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_fb689b89a1.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_1_fd2e28a85d.pdf,2025-12-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_2_cc6e7a3d36.pdf,2025-12-24,supplementary_2,1,0
raw_appellate_cl/pdfs/2025-12-24_supplementary_3_f62aca2837.pdf,2025-12-24,supplementary_3,1,0
raw_appellate_cl/pdfs/2025-12-29_daily_614242bad2.pdf,2025-12-29,daily,9,0
raw_appellate_cl/pdfs/2025-12-29_supplementary_1_7210454338.pdf,2025-12-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-29_supplementary_1_d6ff68eea0.pdf,2025-12-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-29_supplementary_1_f32a46b16d.pdf,2025-12-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-31_daily_927be96b6f.pdf,2025-12-31,daily,8,0
raw_appellate_cl/pdfs/2025-12-31_supplementary_1_2633355321.pdf,2025-12-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2025-12-31_supplementary_1_b89f447a11.pdf,2025-12-31,supplementary_1,2,0
raw_appellate_cl/pdfs/2025-12-31_supplementary_1_bbab64be4a.pdf,2025-12-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-02_daily_36b71ac5c5.pdf,2026-01-02,daily,544,266
raw_appellate_cl/pdfs/2026-01-02_supplementary_1_19b0cc98a5.pdf,2026-01-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-05_supplementary_1_91739d8985.pdf,2026-01-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-06_daily_0b1052fb70.pdf,2026-01-06,daily,526,335
raw_appellate_cl/pdfs/2026-01-06_supplementary_1_2e689087d8.pdf,2026-01-06,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-07_daily_47316b7545.pdf,2026-01-07,daily,496,362
raw_appellate_cl/pdfs/2026-01-07_supplementary_1_921b3465d3.pdf,2026-01-07,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-07_supplementary_1_f968ecaa6d.pdf,2026-01-07,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-08_daily_22e1b04f81.pdf,2026-01-08,daily,519,351
