source_pdf,source_date,list_kind,pages,arbitration_hits
raw_appellate_cl/pdfs/2026-04-01_supplementary_1_2844bee73a.pdf,2026-04-01,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-01_supplementary_1_3f09663a30.pdf,2026-04-01,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-01_supplementary_1_646ffb75ad.pdf,2026-04-01,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-01_supplementary_1_8f88f4ed48.pdf,2026-04-01,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-02_daily_c3ca7c881a.pdf,2026-04-02,daily,500,556
raw_appellate_cl/pdfs/2026-04-02_supplementary_1_387ac7cd1f.pdf,2026-04-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-02_supplementary_1_c90ceefc7c.pdf,2026-04-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-02_supplementary_1_f49a6f3227.pdf,2026-04-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-03_daily_c2e1a44b5a.pdf,2026-04-03,daily,1,0
raw_appellate_cl/pdfs/2026-04-06_supplementary_1_af5cd7a8e5.pdf,2026-04-06,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-06_supplementary_1_ee2b968736.pdf,2026-04-06,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-07_daily_dd0f2d366a.pdf,2026-04-07,daily,516,476
raw_appellate_cl/pdfs/2026-04-07_supplementary_1_e571afd964.pdf,2026-04-07,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-08_daily_8c19f27179.pdf,2026-04-08,daily,481,463
raw_appellate_cl/pdfs/2026-04-08_supplementary_1_3883133fe0.pdf,2026-04-08,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-09_daily_2c214e85d8.pdf,2026-04-09,daily,496,487
raw_appellate_cl/pdfs/2026-04-09_supplementary_1_57c05caea0.pdf,2026-04-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-09_supplementary_1_b150c4488b.pdf,2026-04-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-09_supplementary_1_bcb62b82f5.pdf,2026-04-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-10_daily_5f95940965.pdf,2026-04-10,daily,457,317
raw_appellate_cl/pdfs/2026-04-10_supplementary_1_c64836eebf.pdf,2026-04-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-10_supplementary_1_f8bd5e4bb4.pdf,2026-04-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-13_daily_212e0c39e9.pdf,2026-04-13,daily,425,349
raw_appellate_cl/pdfs/2026-04-13_supplementary_1_e177148eea.pdf,2026-04-13,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-13_supplementary_1_f0ceb589bc.pdf,2026-04-13,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-16_daily_2ff8d250b1.pdf,2026-04-16,daily,456,269
raw_appellate_cl/pdfs/2026-04-16_supplementary_1_7e51c5febd.pdf,2026-04-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-16_supplementary_1_81095fafe0.pdf,2026-04-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-16_supplementary_1_cccf328984.pdf,2026-04-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-17_daily_ea53b0a7d5.pdf,2026-04-17,daily,475,301
raw_appellate_cl/pdfs/2026-04-17_supplementary_1_289f53a3a6.pdf,2026-04-17,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-17_supplementary_1_2d4f0ae7ce.pdf,2026-04-17,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-17_supplementary_1_6508044318.pdf,2026-04-17,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-17_supplementary_1_a35d856322.pdf,2026-04-17,supplementary_1,2,0
raw_appellate_cl/pdfs/2026-04-17_supplementary_2_3b5500a138.pdf,2026-04-17,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-04-20_daily_6b5c29640c.pdf,2026-04-20,daily,418,298
raw_appellate_cl/pdfs/2026-04-20_supplementary_1_ab0029f177.pdf,2026-04-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-20_supplementary_1_f2069ebb65.pdf,2026-04-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-21_daily_1f58250790.pdf,2026-04-21,daily,407,290
raw_appellate_cl/pdfs/2026-04-21_supplementary_1_6a4b6ceb45.pdf,2026-04-21,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-21_supplementary_1_89631ae1bb.pdf,2026-04-21,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-21_supplementary_1_96a3f85125.pdf,2026-04-21,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-22_daily_196e779d81.pdf,2026-04-22,daily,373,261
raw_appellate_cl/pdfs/2026-04-23_daily_66b9a24915.pdf,2026-04-23,daily,389,282
raw_appellate_cl/pdfs/2026-04-23_supplementary_1_32ff8ae767.pdf,2026-04-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-24_daily_5f8dfc2dc2.pdf,2026-04-24,daily,402,282
raw_appellate_cl/pdfs/2026-04-24_supplementary_1_0f2d54296f.pdf,2026-04-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-24_supplementary_1_e53966888d.pdf,2026-04-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-27_daily_0d6d62c327.pdf,2026-04-27,daily,403,269
raw_appellate_cl/pdfs/2026-04-27_supplementary_1_27a276574d.pdf,2026-04-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-27_supplementary_1_563b83e9c3.pdf,2026-04-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-27_supplementary_1_b4e80aa7fb.pdf,2026-04-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-27_supplementary_2_ef850d7484.pdf,2026-04-27,supplementary_2,1,0
raw_appellate_cl/pdfs/unknown_date_supplementary_1_69683aa48f.pdf,,supplementary_1,1,0
raw_appellate_cl/pdfs/unknown_date_supplementary_1_7b7efbeb9d.pdf,,supplementary_1,1,0
raw_appellate_cl/pdfs/unknown_date_supplementary_1_eb06cfb305.pdf,,supplementary_1,1,0
